"Currency","Rate"
"AED",3.673
"AFN",76.899997
"ALL",105.2
"AMD",481.616228
"ANG",1.794806
"AOA",658.325
"ARS",78.24
"AUD",1.405061
"AWG",1.8
"AZN",1.7025
"BAM",1.65435
"BBD",2
"BDT",84.72744
"BGN",1.654325
"BHD",0.376974
"BIF",1936
"BMD",1
"BND",1.360463
"BOB",6.904406
"BRL",5.630851
"BSD",1
"BTC",7.7510687e-05
"BTN",73.985349
"BWP",11.388502
"BYN",2.542113
"BZD",2.00483
"CAD",1.321855
"CDF",1960
"CHF",0.906949
"CLF",0.028112
"CLP",775.701277
"CNH",6.703152
"CNY",6.7122
"COP",3788.638905
"CRC",603.868588
"CUC",0.999793
"CUP",25.75
"CVE",93.63
"CZK",23.079834
"DJF",178.008789
"DKK",6.292573
"DOP",58.4
"DZD",128.674092
"EGP",15.6977
"ERN",15.000453
"ETB",37.460479
"EUR",0.845789
"FJD",2.1325
"FKP",0.767869
"GBP",0.767869
"GEL",3.23
"GGP",0.767869
"GHS",5.83
"GIP",0.767869
"GMD",51.75
"GNF",9775
"GTQ",7.779267
"GYD",209.136051
"HKD",7.75015
"HNL",24.54
"HRK",6.4102
"HTG",62.694275
"HUF",308.9245
"IDR",14647.077399
"ILS",3.39101
"IMP",0.767869
"INR",73.928547
"IQD",1191.5
"IRR",42105.725176
"ISK",139.68
"JEP",0.767869
"JMD",146.017132
"JOD",0.709
"JPY",104.838
"KES",108.85
"KGS",80.665193
"KHR",4075
"KMF",416.950166
"KPW",900
"KRW",1132.912276
"KWD",0.305573
"KYD",0.83333
"KZT",429.800897
"LAK",9257
"LBP",1518
"LKR",184.333553
"LRD",191.250065
"LSL",16.25
"LYD",1.36
"MAD",9.1625
"MDL",16.954995
"MGA",3923
"MKD",52.139442
"MMK",1286.887643
"MNT",2846.257706
"MOP",7.981764
"MRO",357
"MRU",36.9
"MUR",39.85
"MVR",15.41
"MWK",756
"MXN",20.9881
"MYR",4.1655
"MZN",72.850017
"NAD",16.25
"NGN",381
"NIO",34.75
"NOK",9.241682
"NPR",118.376484
"NZD",1.496843
"OMR",0.384987
"PAB",1
"PEN",3.6025
"PGK",3.505
"PHP",48.373443
"PKR",161.15
"PLN",3.872758
"PYG",7039.457593
"QAR",3.641
"RON",4.1217
"RSD",99.47
"RUB",76.399625
"RWF",975.5
"SAR",3.7502
"SBD",8.08084
"SCR",19.279778
"SDG",55.275
"SEK",8.740259
"SGD",1.361246
"SHP",0.767869
"SLL",9964.2252
"SOS",583
"SRD",14.154
"SSP",130.26
"STD",20919.263213
"STN",20.875
"SVC",8.749529
"SYP",512.509944
"SZL",16.25
"THB",31.27
"TJS",10.334068
"TMT",3.5
"TND",2.745
"TOP",2.313288
"TRY",8.083755
"TTD",6.786411
"TWD",28.6215
"TZS",2318.806016
"UAH",28.335243
"UGX",3732.690737
"USD",1
"UYU",42.677095
"UZS",10365
"VEF",248487.642241
"VES",461866.864013
"VND",23169.168744
"VUV",113.387746
"WST",2.629873
"XAF",554.801448
"XAG",0.04101154
"XAU",0.00052521
"XCD",2.70255
"XDR",0.706743
"XOF",554.801448
"XPD",0.00042265
"XPF",100.929517
"XPT",0.00114336
"YER",250.399984
"ZAR",16.232662
"ZMW",20.306877
"ZWL",322
